DeptoOrigen,ValorMilespesos,date
Antioquia,59653668,Jan 2010
Antioquia,53569731,Feb 2010
Antioquia,70250664,Mar 2010
Antioquia,57693000,Apr 2010
Antioquia,64005468,May 2010
Antioquia,59821035,Jun 2010
Antioquia,34746649,Jul 2010
Antioquia,29765896,Aug 2010
Antioquia,26234124,Sep 2010
Antioquia,35989713,Oct 2010
Antioquia,53693623,Nov 2010
Antioquia,79958385,Dec 2010
Antioquia,83003925,Jan 2011
Antioquia,97128988,Feb 2011
Antioquia,95945665,Mar 2011
Antioquia,95214529,Apr 2011
Antioquia,90707919,May 2011
Antioquia,88573867,Jun 2011
Antioquia,65121387,Jul 2011
Antioquia,62220519,Aug 2011
Antioquia,41846313,Sep 2011
Antioquia,40650838,Oct 2011
Antioquia,80277788,Nov 2011
Antioquia,77500861,Dec 2011
Antioquia,61627094,Jan 2012
Antioquia,72790152,Feb 2012
Antioquia,76056023,Mar 2012
Antioquia,47717503,Apr 2012
Antioquia,50575340,May 2012
Antioquia,49890483,Jun 2012
Antioquia,38197761,Jul 2012
Antioquia,40040534,Aug 2012
Antioquia,36464270,Sep 2012
Antioquia,34033584,Oct 2012
Antioquia,47983019,Nov 2012
Antioquia,57272984,Dec 2012
Antioquia,57712269,Jan 2013
Antioquia,71263056,Feb 2013
Antioquia,58954115,Mar 2013
Antioquia,62112800,Apr 2013
Antioquia,60876090,May 2013
Antioquia,62953342,Jun 2013
Antioquia,67495776,Jul 2013
Antioquia,60970359,Aug 2013
Antioquia,40840840,Sep 2013
Antioquia,34569878,Oct 2013
Antioquia,47036467,Nov 2013
Antioquia,69251008,Dec 2013
Antioquia,47471594,Jan 2014
Antioquia,53682528,Feb 2014
Antioquia,61262462,Mar 2014
Antioquia,83557181,Apr 2014
Antioquia,57429792,May 2014
Antioquia,50192688,Jun 2014
Antioquia,50619703,Jul 2014
Antioquia,50073861,Aug 2014
Antioquia,37089998,Sep 2014
Antioquia,59075089,Oct 2014
Antioquia,91487849,Nov 2014
Antioquia,86157927,Dec 2014
Antioquia,116405741,Jan 2015
Antioquia,138640051,Feb 2015
Antioquia,133896449,Mar 2015
Antioquia,103470293,Apr 2015
Antioquia,100647450,May 2015
Antioquia,76126203,Jun 2015
Antioquia,129377681,Jul 2015
Antioquia,107398344,Aug 2015
Antioquia,136290305,Sep 2015
Antioquia,75353921,Oct 2015
Antioquia,117405620,Nov 2015
Antioquia,116336557,Dec 2015
Antioquia,82092353,Jan 2016
Antioquia,99835066,Feb 2016
Antioquia,115741367,Mar 2016
Antioquia,176086699,Apr 2016
Antioquia,95938996,May 2016
Antioquia,98252755,Jun 2016
Antioquia,67155174,Jul 2016
Antioquia,82939983,Aug 2016
Antioquia,84372566,Sep 2016
Antioquia,83813307,Oct 2016
Antioquia,148351244,Nov 2016
Antioquia,219687541,Dec 2016
Antioquia,94494465,Jan 2017
Antioquia,127363574,Feb 2017
Antioquia,159067925,Mar 2017
Antioquia,130158717,Apr 2017
Antioquia,137642316,May 2017
Antioquia,78128946,Jun 2017
Antioquia,94804427,Jul 2017
Antioquia,103491233,Aug 2017
Antioquia,104904139,Sep 2017
Antioquia,100066158,Oct 2017
Antioquia,110274853,Nov 2017
Antioquia,107436802,Dec 2017
Antioquia,136911471,Jan 2018
Antioquia,103646467,Feb 2018
Antioquia,90436299,Mar 2018
Antioquia,114797914,Apr 2018
Antioquia,101549531,May 2018
Bogota,19743892,Jan 2010
Bogota,18072120,Feb 2010
Bogota,26671879,Mar 2010
Bogota,13197466,Apr 2010
Bogota,27265924,May 2010
Bogota,26188863,Jun 2010
