,Ano,Mes,PaisDestino,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
0,2010,Apr,Alemania,Antioquia,159381,1598808,159,Apr 2010
1,2010,Apr,Alemania,Bogota,62897,550003,63,Apr 2010
2,2010,Apr,Alemania,Caldas,168899,3221473,169,Apr 2010
3,2010,Apr,Alemania,Cauca,43369,279884,43,Apr 2010
4,2010,Apr,Alemania,Huila,117655,894646,118,Apr 2010
5,2010,Apr,Alemania,Magdalena,208062,1869513,208,Apr 2010
6,2010,Apr,Alemania,Quindio,38548,268413,39,Apr 2010
7,2010,Apr,Alemania,Risaralda,59752,492065,60,Apr 2010
8,2010,Apr,Alemania,Santander,38455,300850,38,Apr 2010
9,2010,Apr,Alemania,Tolima,38407,316157,38,Apr 2010
10,2010,Apr,Alemania,Valle del Cauca,20984,171410,21,Apr 2010
11,2010,Apr,Antigua y Barbuda,Boyaca,0,0,0,Apr 2010
12,2010,Apr,Antillas Holandesas,Antioquia,6254,161625,6,Apr 2010
13,2010,Apr,Antillas Holandesas,Valle del Cauca,2562,80396,3,Apr 2010
14,2010,Apr,Arabia Saudita,Risaralda,17947,169730,18,Apr 2010
15,2010,Apr,Argentina,Bogota,19952,204164,20,Apr 2010
16,2010,Apr,Aruba,Antioquia,2639,69870,3,Apr 2010
17,2010,Apr,Aruba,Bogota,575,10053,1,Apr 2010
18,2010,Apr,Aruba,Valle del Cauca,7679,240981,8,Apr 2010
19,2010,Apr,Australia,Antioquia,6750,160755,7,Apr 2010
20,2010,Apr,Australia,Bogota,96341,866458,96,Apr 2010
21,2010,Apr,Australia,Caldas,42440,530805,42,Apr 2010
22,2010,Apr,Australia,Huila,59297,501560,59,Apr 2010
23,2010,Apr,Australia,Quindio,18974,167176,19,Apr 2010
24,2010,Apr,Barbados,Antioquia,630,16675,1,Apr 2010
25,2010,Apr,Belgica,Antioquia,143769,1109043,144,Apr 2010
26,2010,Apr,Belgica,Bogota,248952,2126073,249,Apr 2010
27,2010,Apr,Belgica,Caldas,788631,8131157,789,Apr 2010
28,2010,Apr,Belgica,Cauca,86620,605986,87,Apr 2010
29,2010,Apr,Belgica,Huila,39100,330917,39,Apr 2010
30,2010,Apr,Belgica,Norte de Santander,19611,137418,20,Apr 2010
31,2010,Apr,Belgica,Risaralda,182169,1454857,182,Apr 2010
32,2010,Apr,Belgica,Santander,278286,2047746,278,Apr 2010
33,2010,Apr,Belgica,Tolima,134595,1124528,135,Apr 2010
34,2010,Apr,Belgica,Valle del Cauca,138160,956440,138,Apr 2010
35,2010,Apr,Bolivia,Valle del Cauca,4749,191449,5,Apr 2010
36,2010,Apr,Brasil,Bogota,40,94,0,Apr 2010
