,Ano,Mes,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
0,2010,Apr,Antioquia,5443573,57693000,5444,Apr 2010
1,2010,Apr,Bogota,1489701,13197466,1490,Apr 2010
2,2010,Apr,Caldas,4977643,52023530,4978,Apr 2010
3,2010,Apr,Quindio,1726474,14469328,1726,Apr 2010
4,2010,Apr,Risaralda,7704826,63709590,7705,Apr 2010
5,2010,Apr,Tolima,1479604,13367965,1480,Apr 2010
6,2010,Aug,Antioquia,2507953,29765896,2508,Aug 2010
7,2010,Aug,Bogota,1853354,16305176,1853,Aug 2010
8,2010,Aug,Caldas,5861890,61700014,5862,Aug 2010
9,2010,Aug,Quindio,1397978,11935209,1398,Aug 2010
10,2010,Aug,Risaralda,4971762,43977151,4972,Aug 2010
11,2010,Aug,Tolima,1658694,16715505,1659,Aug 2010
12,2010,Dec,Antioquia,6997249,79958385,6997,Dec 2010
13,2010,Dec,Bogota,2911663,28335293,2912,Dec 2010
14,2010,Dec,Caldas,7453153,86746078,7453,Dec 2010
15,2010,Dec,Quindio,3219636,32212381,3220,Dec 2010
16,2010,Dec,Risaralda,11381250,114313748,11381,Dec 2010
17,2010,Dec,Tolima,1905311,23488479,1905,Dec 2010
18,2010,Jan,Antioquia,6575322,59653668,6575,Jan 2010
19,2010,Jan,Bogota,2332913,19743892,2333,Jan 2010
20,2010,Jan,Caldas,5589680,56119853,5590,Jan 2010
21,2010,Jan,Quindio,1546692,12154076,1547,Jan 2010
22,2010,Jan,Risaralda,5985739,47605391,5986,Jan 2010
23,2010,Jan,Tolima,916694,9027278,917,Jan 2010
24,2010,Feb,Antioquia,4416532,53569731,4417,Feb 2010
25,2010,Feb,Bogota,2147521,18072120,2148,Feb 2010
26,2010,Feb,Caldas,5613790,51682460,5614,Feb 2010
27,2010,Feb,Quindio,1768461,14380068,1768,Feb 2010
28,2010,Feb,Risaralda,5665963,47051022,5666,Feb 2010
29,2010,Feb,Tolima,1547306,13951099,1547,Feb 2010
30,2010,Jul,Antioquia,3698951,34746649,3699,Jul 2010
31,2010,Jul,Bogota,1616511,13800188,1617,Jul 2010
32,2010,Jul,Caldas,4076970,46198359,4077,Jul 2010
33,2010,Jul,Quindio,1772575,15194571,1773,Jul 2010
34,2010,Jul,Risaralda,6198142,53458848,6198,Jul 2010
35,2010,Jul,Tolima,1865274,18212229,1865,Jul 2010
36,2010,Jun,Antioquia,6485419,59821035,6485,Jun 2010
37,2010,Jun,Bogota,3216157,26188863,3216,Jun 2010
38,2010,Jun,Caldas,4560964,48247238,4561,Jun 2010
39,2010,Jun,Quindio,1832280,15174884,1832,Jun 2010
40,2010,Jun,Risaralda,7965016,65054419,7965,Jun 2010
41,2010,Jun,Tolima,2552680,22559299,2553,Jun 2010
42,2010,Mar,Antioquia,6322766,70250664,6323,Mar 2010
43,2010,Mar,Bogota,3129489,26671879,3129,Mar 2010
44,2010,Mar,Caldas,5698158,57687362,5698,Mar 2010
45,2010,Mar,Quindio,1583010,12716975,1583,Mar 2010
46,2010,Mar,Risaralda,7660825,62128512,7661,Mar 2010
47,2010,Mar,Tolima,1142407,10715008,1142,Mar 2010
48,2010,May,Antioquia,6493210,64005468,6493,May 2010
49,2010,May,Bogota,3237630,27265924,3238,May 2010
50,2010,May,Caldas,5042948,50439166,5043,May 2010
51,2010,May,Quindio,1706285,14723246,1706,May 2010
52,2010,May,Risaralda,9894092,84691691,9894,May 2010
53,2010,May,Tolima,2228882,18810396,2229,May 2010
54,2010,Nov,Antioquia,4611714,53693623,4612,Nov 2010
55,2010,Nov,Bogota,3797159,36083587,3797,Nov 2010
56,2010,Nov,Caldas,5522228,66563272,5522,Nov 2010
57,2010,Nov,Quindio,1986477,19111931,1986,Nov 2010
58,2010,Nov,Risaralda,7487795,70979032,7488,Nov 2010
59,2010,Nov,Tolima,1379051,15279069,1379,Nov 2010
60,2010,Oct,Antioquia,2791470,35989713,2791,Oct 2010
61,2010,Oct,Bogota,2034917,18156202,2035,Oct 2010
62,2010,Oct,Caldas,6362306,67532821,6362,Oct 2010
63,2010,Oct,Quindio,1675991,16488699,1676,Oct 2010
64,2010,Oct,Risaralda,7211624,67779227,7212,Oct 2010
65,2010,Oct,Tolima,983816,11603717,984,Oct 2010
66,2010,Sep,Antioquia,2290070,26234124,2290,Sep 2010
67,2010,Sep,Bogota,1723193,15605710,1723,Sep 2010
68,2010,Sep,Caldas,5065485,60161262,5065,Sep 2010
69,2010,Sep,Quindio,1506883,14094761,1507,Sep 2010
70,2010,Sep,Risaralda,4458800,40041859,4459,Sep 2010
71,2010,Sep,Tolima,1095033,11779241,1095,Sep 2010
72,2011,Apr,Antioquia,7657182,95214529,7657,Apr 2011
73,2011,Apr,Bogota,5821888,65629621,5822,Apr 2011
74,2011,Apr,Caldas,6152004,80322612,6152,Apr 2011
75,2011,Apr,Quindio,2495642,26972492,2496,Apr 2011
76,2011,Apr,Risaralda,8500137,89941623,8500,Apr 2011
77,2011,Apr,Tolima,1116234,14268138,1116,Apr 2011
78,2011,Aug,Antioquia,3988225,62220519,3988,Aug 2011
79,2011,Aug,Bogota,1934016,19823359,1934,Aug 2011
80,2011,Aug,Caldas,2625013,40659505,2625,Aug 2011
81,2011,Aug,Quindio,1620189,18516596,1620,Aug 2011
82,2011,Aug,Risaralda,3972458,44609289,3972,Aug 2011
83,2011,Aug,Tolima,2390143,27704975,2390,Aug 2011
84,2011,Dec,Antioquia,5572767,77500861,5573,Dec 2011
85,2011,Dec,Bogota,3881216,43837430,3881,Dec 2011
86,2011,Dec,Caldas,7063528,89799761,7064,Dec 2011
87,2011,Dec,Quindio,3750289,43321529,3750,Dec 2011
88,2011,Dec,Risaralda,8141136,90855467,8141,Dec 2011
89,2011,Dec,Tolima,1851800,23152251,1852,Dec 2011
90,2011,Jan,Antioquia,8077509,83003925,8078,Jan 2011
91,2011,Jan,Bogota,4986054,48443280,4986,Jan 2011
92,2011,Jan,Caldas,8916922,99962301,8917,Jan 2011
93,2011,Jan,Quindio,3550432,35505447,3550,Jan 2011
94,2011,Jan,Risaralda,8347822,79665452,8348,Jan 2011
95,2011,Jan,Tolima,1819940,18523846,1820,Jan 2011
96,2011,Feb,Antioquia,8180915,97128988,8181,Feb 2011
97,2011,Feb,Bogota,4683429,49594220,4683,Feb 2011
98,2011,Feb,Caldas,5017420,61268373,5017,Feb 2011
99,2011,Feb,Quindio,2624419,28838562,2624,Feb 2011
100,2011,Feb,Risaralda,8405111,84420071,8405,Feb 2011
101,2011,Feb,Tolima,2166097,26012405,2166,Feb 2011
102,2011,Jul,Antioquia,4367500,65121387,4368,Jul 2011
103,2011,Jul,Bogota,1927534,20935912,1928,Jul 2011
104,2011,Jul,Caldas,3478890,52802492,3479,Jul 2011
105,2011,Jul,Quindio,2203504,23480507,2204,Jul 2011
106,2011,Jul,Risaralda,4149292,44162105,4149,Jul 2011
107,2011,Jul,Tolima,734659,8491183,735,Jul 2011
108,2011,Jun,Antioquia,7398300,88573867,7398,Jun 2011
109,2011,Jun,Bogota,2529765,29834412,2530,Jun 2011
110,2011,Jun,Caldas,4658858,68120482,4659,Jun 2011
111,2011,Jun,Quindio,2126938,23816622,2127,Jun 2011
112,2011,Jun,Risaralda,6960751,75548701,6961,Jun 2011
113,2011,Jun,Tolima,1798291,24204309,1798,Jun 2011
114,2011,Mar,Antioquia,7094593,95945665,7095,Mar 2011
115,2011,Mar,Bogota,6906255,77162932,6906,Mar 2011
116,2011,Mar,Caldas,6795286,92963856,6795,Mar 2011
117,2011,Mar,Quindio,2612493,28931402,2612,Mar 2011
118,2011,Mar,Risaralda,9013870,94725065,9014,Mar 2011
119,2011,Mar,Tolima,1558348,20841891,1558,Mar 2011
120,2011,May,Antioquia,7316724,90707919,7317,May 2011
121,2011,May,Bogota,4613875,54085148,4614,May 2011
122,2011,May,Caldas,3720612,55963460,3721,May 2011
123,2011,May,Quindio,1313439,15103678,1313,May 2011
124,2011,May,Risaralda,6756385,71799804,6756,May 2011
125,2011,May,Tolima,562654,10760981,563,May 2011
126,2011,Nov,Antioquia,5337295,80277788,5337,Nov 2011
127,2011,Nov,Bogota,2653985,31698392,2654,Nov 2011
128,2011,Nov,Caldas,7340819,98895731,7341,Nov 2011
129,2011,Nov,Quindio,2286251,26782359,2286,Nov 2011
130,2011,Nov,Risaralda,8940168,101786001,8940,Nov 2011
131,2011,Nov,Tolima,2620500,30813137,2621,Nov 2011
132,2011,Oct,Antioquia,2270382,40650838,2270,Oct 2011
133,2011,Oct,Bogota,1498882,17868651,1499,Oct 2011
134,2011,Oct,Caldas,4283992,62670465,4284,Oct 2011
