,DeptoOrigen,Toneladas,date
0,Antioquia,5444,Apr 2010
1,Bogota,1490,Apr 2010
2,Caldas,4978,Apr 2010
3,Huila,4598,Apr 2010
4,Quindio,1726,Apr 2010
5,Risaralda,7705,Apr 2010
6,Tolima,1480,Apr 2010
7,Antioquia,2508,Aug 2010
8,Bogota,1853,Aug 2010
9,Caldas,5862,Aug 2010
10,Huila,5212,Aug 2010
11,Quindio,1398,Aug 2010
12,Risaralda,4972,Aug 2010
13,Tolima,1659,Aug 2010
14,Antioquia,6997,Dec 2010
15,Bogota,2912,Dec 2010
16,Caldas,7453,Dec 2010
17,Huila,12382,Dec 2010
18,Quindio,3220,Dec 2010
19,Risaralda,11381,Dec 2010
20,Tolima,1905,Dec 2010
21,Antioquia,6575,Jan 2010
22,Bogota,2333,Jan 2010
23,Caldas,5590,Jan 2010
24,Huila,6225,Jan 2010
25,Quindio,1547,Jan 2010
26,Risaralda,5986,Jan 2010
27,Tolima,917,Jan 2010
28,Antioquia,4417,Feb 2010
29,Bogota,2148,Feb 2010
30,Caldas,5614,Feb 2010
31,Huila,4000,Feb 2010
32,Quindio,1768,Feb 2010
33,Risaralda,5666,Feb 2010
34,Tolima,1547,Feb 2010
35,Antioquia,3699,Jul 2010
36,Bogota,1617,Jul 2010
37,Caldas,4077,Jul 2010
38,Huila,4543,Jul 2010
39,Quindio,1773,Jul 2010
40,Risaralda,6198,Jul 2010
41,Tolima,1865,Jul 2010
42,Antioquia,6485,Jun 2010
43,Bogota,3216,Jun 2010
44,Caldas,4561,Jun 2010
45,Huila,3673,Jun 2010
46,Quindio,1832,Jun 2010
47,Risaralda,7965,Jun 2010
48,Tolima,2553,Jun 2010
49,Antioquia,6323,Mar 2010
50,Bogota,3129,Mar 2010
51,Caldas,5698,Mar 2010
52,Huila,7172,Mar 2010
53,Quindio,1583,Mar 2010
54,Risaralda,7661,Mar 2010
55,Tolima,1142,Mar 2010
56,Antioquia,6493,May 2010
57,Bogota,3238,May 2010
58,Caldas,5043,May 2010
59,Huila,4592,May 2010
60,Quindio,1706,May 2010
61,Risaralda,9894,May 2010
62,Tolima,2229,May 2010
63,Antioquia,4612,Nov 2010
64,Bogota,3797,Nov 2010
65,Caldas,5522,Nov 2010
66,Huila,8852,Nov 2010
67,Quindio,1986,Nov 2010
68,Risaralda,7488,Nov 2010
69,Tolima,1379,Nov 2010
70,Antioquia,2791,Oct 2010
71,Bogota,2035,Oct 2010
72,Caldas,6362,Oct 2010
73,Huila,7059,Oct 2010
74,Quindio,1676,Oct 2010
75,Risaralda,7212,Oct 2010
76,Tolima,984,Oct 2010
77,Antioquia,2290,Sep 2010
78,Bogota,1723,Sep 2010
79,Caldas,5065,Sep 2010
80,Huila,5825,Sep 2010
81,Quindio,1507,Sep 2010
82,Risaralda,4459,Sep 2010
83,Tolima,1095,Sep 2010
84,Antioquia,7657,Apr 2011
85,Bogota,5822,Apr 2011
86,Caldas,6152,Apr 2011
87,Huila,6471,Apr 2011
88,Quindio,2496,Apr 2011
89,Risaralda,8500,Apr 2011
90,Tolima,1116,Apr 2011
91,Antioquia,3988,Aug 2011
92,Bogota,1934,Aug 2011
93,Caldas,2625,Aug 2011
94,Huila,5369,Aug 2011
95,Quindio,1620,Aug 2011
96,Risaralda,3972,Aug 2011
97,Tolima,2390,Aug 2011
98,Antioquia,5573,Dec 2011
99,Bogota,3881,Dec 2011
100,Caldas,7064,Dec 2011
101,Huila,10334,Dec 2011
102,Quindio,3750,Dec 2011
103,Risaralda,8141,Dec 2011
104,Tolima,1852,Dec 2011
105,Antioquia,8078,Jan 2011
106,Bogota,4986,Jan 2011
107,Caldas,8917,Jan 2011
108,Huila,10531,Jan 2011
109,Quindio,3550,Jan 2011
110,Risaralda,8348,Jan 2011
111,Tolima,1820,Jan 2011
112,Antioquia,8181,Feb 2011
113,Bogota,4683,Feb 2011
114,Caldas,5017,Feb 2011
115,Huila,7190,Feb 2011
116,Quindio,2624,Feb 2011
117,Risaralda,8405,Feb 2011
118,Tolima,2166,Feb 2011
119,Antioquia,4368,Jul 2011
120,Bogota,1928,Jul 2011
121,Caldas,3479,Jul 2011
122,Huila,4678,Jul 2011
123,Quindio,2204,Jul 2011
124,Risaralda,4149,Jul 2011
125,Tolima,735,Jul 2011
126,Antioquia,7398,Jun 2011
127,Bogota,2530,Jun 2011
128,Caldas,4659,Jun 2011
129,Huila,5428,Jun 2011
130,Quindio,2127,Jun 2011
131,Risaralda,6961,Jun 2011
132,Tolima,1798,Jun 2011
133,Antioquia,7095,Mar 2011
134,Bogota,6906,Mar 2011
135,Caldas,6795,Mar 2011
136,Huila,8500,Mar 2011
137,Quindio,2612,Mar 2011
138,Risaralda,9014,Mar 2011
139,Tolima,1558,Mar 2011
140,Antioquia,7317,May 2011
141,Bogota,4614,May 2011
142,Caldas,3721,May 2011
143,Huila,3438,May 2011
144,Quindio,1313,May 2011
145,Risaralda,6756,May 2011
146,Tolima,563,May 2011
147,Antioquia,5337,Nov 2011
148,Bogota,2654,Nov 2011
149,Caldas,7341,Nov 2011
150,Huila,7372,Nov 2011
151,Quindio,2286,Nov 2011
152,Risaralda,8940,Nov 2011
153,Tolima,2621,Nov 2011
154,Antioquia,2270,Oct 2011
155,Bogota,1499,Oct 2011
156,Caldas,4284,Oct 2011
157,Huila,6091,Oct 2011
158,Quindio,2331,Oct 2011
159,Risaralda,4633,Oct 2011
160,Tolima,680,Oct 2011
161,Antioquia,2027,Sep 2011
162,Bogota,1170,Sep 2011
163,Caldas,3438,Sep 2011
164,Huila,5522,Sep 2011
165,Quindio,1408,Sep 2011
166,Risaralda,3756,Sep 2011
167,Tolima,1563,Sep 2011
168,Antioquia,3506,Apr 2012
169,Bogota,1459,Apr 2012
170,Caldas,3626,Apr 2012
171,Huila,3280,Apr 2012
172,Quindio,2174,Apr 2012
173,Risaralda,4338,Apr 2012
174,Tolima,1551,Apr 2012
175,Antioquia,3270,Aug 2012
176,Bogota,2246,Aug 2012
177,Caldas,7814,Aug 2012
178,Huila,7019,Aug 2012
179,Quindio,3153,Aug 2012
180,Risaralda,6865,Aug 2012
181,Tolima,4116,Aug 2012
182,Antioquia,5983,Dec 2012
183,Bogota,1915,Dec 2012
184,Caldas,8075,Dec 2012
185,Huila,6439,Dec 2012
186,Quindio,2780,Dec 2012
187,Risaralda,6870,Dec 2012
188,Tolima,1505,Dec 2012
189,Antioquia,4862,Jan 2012
190,Bogota,3011,Jan 2012
191,Caldas,6220,Jan 2012
192,Huila,5392,Jan 2012
193,Quindio,3815,Jan 2012
194,Risaralda,5187,Jan 2012
195,Tolima,2491,Jan 2012
196,Antioquia,6485,Feb 2012
197,Bogota,3413,Feb 2012
198,Caldas,4568,Feb 2012
199,Huila,5452,Feb 2012
200,Quindio,2007,Feb 2012
201,Risaralda,5016,Feb 2012
202,Tolima,2493,Feb 2012
203,Antioquia,2967,Jul 2012
204,Bogota,2824,Jul 2012
205,Caldas,5613,Jul 2012
206,Huila,5923,Jul 2012
207,Quindio,2529,Jul 2012
208,Risaralda,6925,Jul 2012
209,Tolima,3561,Jul 2012
210,Antioquia,4452,Jun 2012
211,Bogota,2086,Jun 2012
212,Caldas,6476,Jun 2012
213,Huila,4340,Jun 2012
214,Quindio,3234,Jun 2012
215,Risaralda,6269,Jun 2012
216,Tolima,4587,Jun 2012
217,Antioquia,6620,Mar 2012
218,Bogota,2897,Mar 2012
219,Caldas,6118,Mar 2012
220,Huila,5834,Mar 2012
221,Quindio,3352,Mar 2012
222,Risaralda,5187,Mar 2012
223,Tolima,2253,Mar 2012
224,Antioquia,4106,May 2012
225,Bogota,2596,May 2012
226,Caldas,5580,May 2012
227,Huila,4304,May 2012
228,Quindio,2840,May 2012
229,Risaralda,7191,May 2012
230,Tolima,2791,May 2012
231,Antioquia,4273,Nov 2012
232,Bogota,2221,Nov 2012
233,Caldas,5864,Nov 2012
234,Huila,7014,Nov 2012
235,Quindio,2288,Nov 2012
236,Risaralda,5681,Nov 2012
237,Tolima,2244,Nov 2012
238,Antioquia,2661,Oct 2012
239,Bogota,1937,Oct 2012
240,Caldas,7497,Oct 2012
241,Huila,7848,Oct 2012
242,Quindio,3598,Oct 2012
243,Risaralda,6556,Oct 2012
244,Tolima,2910,Oct 2012
245,Antioquia,2742,Sep 2012
246,Bogota,2178,Sep 2012
247,Caldas,5471,Sep 2012
248,Huila,5042,Sep 2012
249,Quindio,3201,Sep 2012
250,Risaralda,4921,Sep 2012
251,Tolima,1347,Sep 2012
252,Antioquia,7241,Apr 2013
253,Bogota,2497,Apr 2013
254,Caldas,7373,Apr 2013
255,Huila,6029,Apr 2013
256,Quindio,4451,Apr 2013
257,Risaralda,6426,Apr 2013
258,Tolima,2105,Apr 2013
259,Antioquia,7401,Aug 2013
260,Bogota,4946,Aug 2013
261,Caldas,7601,Aug 2013
262,Huila,8996,Aug 2013
263,Quindio,6343,Aug 2013
264,Risaralda,4739,Aug 2013
265,Tolima,2904,Aug 2013
266,Antioquia,10055,Dec 2013
267,Bogota,5103,Dec 2013
268,Caldas,10567,Dec 2013
269,Huila,11477,Dec 2013
270,Quindio,7373,Dec 2013
271,Risaralda,8973,Dec 2013
272,Tolima,1744,Dec 2013
273,Antioquia,6911,Jan 2013
274,Bogota,3020,Jan 2013
275,Caldas,8056,Jan 2013
276,Huila,8103,Jan 2013
277,Quindio,3233,Jan 2013
278,Risaralda,7294,Jan 2013
279,Tolima,1137,Jan 2013
280,Antioquia,8294,Feb 2013
281,Bogota,4231,Feb 2013
282,Caldas,7558,Feb 2013
283,Huila,7550,Feb 2013
284,Quindio,2147,Feb 2013
285,Risaralda,5194,Feb 2013
286,Tolima,2369,Feb 2013
287,Antioquia,7431,Jul 2013
288,Bogota,3815,Jul 2013
289,Caldas,5415,Jul 2013
290,Huila,7697,Jul 2013
291,Quindio,6808,Jul 2013
292,Risaralda,5621,Jul 2013
293,Tolima,2687,Jul 2013
294,Antioquia,7809,Jun 2013
295,Bogota,3282,Jun 2013
296,Caldas,6076,Jun 2013
297,Huila,5850,Jun 2013
298,Quindio,4052,Jun 2013
299,Risaralda,5521,Jun 2013
300,Tolima,1778,Jun 2013
301,Antioquia,6746,Mar 2013
302,Bogota,2646,Mar 2013
303,Caldas,5231,Mar 2013
304,Huila,5156,Mar 2013
305,Quindio,1754,Mar 2013
306,Risaralda,5060,Mar 2013
307,Tolima,1457,Mar 2013
308,Antioquia,7660,May 2013
309,Bogota,3631,May 2013
310,Caldas,8544,May 2013
311,Huila,8279,May 2013
312,Quindio,4640,May 2013
313,Risaralda,6936,May 2013
314,Tolima,2269,May 2013
315,Antioquia,5613,Nov 2013
316,Bogota,4975,Nov 2013
317,Caldas,10280,Nov 2013
318,Huila,9645,Nov 2013
319,Quindio,4467,Nov 2013
320,Risaralda,10458,Nov 2013
321,Tolima,2846,Nov 2013
322,Antioquia,3511,Oct 2013
323,Bogota,5058,Oct 2013
324,Caldas,8208,Oct 2013
325,Huila,9338,Oct 2013
326,Quindio,6752,Oct 2013
327,Risaralda,5234,Oct 2013
328,Tolima,2253,Oct 2013
329,Antioquia,4260,Sep 2013
330,Bogota,2313,Sep 2013
331,Caldas,7297,Sep 2013
332,Huila,7792,Sep 2013
333,Quindio,5747,Sep 2013
334,Risaralda,8927,Sep 2013
335,Tolima,2500,Sep 2013
336,Antioquia,9803,Apr 2014
337,Bogota,5177,Apr 2014
338,Caldas,11238,Apr 2014
339,Huila,7562,Apr 2014
340,Quindio,5470,Apr 2014
341,Risaralda,10716,Apr 2014
342,Tolima,1616,Apr 2014
343,Antioquia,4708,Aug 2014
344,Bogota,2144,Aug 2014
345,Caldas,8649,Aug 2014
346,Huila,8752,Aug 2014
347,Quindio,5900,Aug 2014
348,Risaralda,8384,Aug 2014
349,Tolima,3522,Aug 2014
350,Antioquia,6754,Dec 2014
351,Bogota,4891,Dec 2014
352,Caldas,5680,Dec 2014
353,Huila,9786,Dec 2014
354,Quindio,5321,Dec 2014
355,Risaralda,11170,Dec 2014
356,Tolima,2655,Dec 2014
357,Antioquia,6647,Jan 2014
358,Bogota,1030,Jan 2014
359,Caldas,8927,Jan 2014
360,Huila,8587,Jan 2014
361,Quindio,5419,Jan 2014
362,Risaralda,9432,Jan 2014
363,Tolima,2188,Jan 2014
364,Antioquia,7573,Feb 2014
365,Bogota,9159,Feb 2014
366,Caldas,10755,Feb 2014
367,Huila,9150,Feb 2014
368,Quindio,6698,Feb 2014
369,Risaralda,12384,Feb 2014
370,Tolima,3298,Feb 2014
371,Antioquia,5026,Jul 2014
372,Bogota,5244,Jul 2014
373,Caldas,8377,Jul 2014
374,Huila,9088,Jul 2014
375,Quindio,5127,Jul 2014
376,Risaralda,9494,Jul 2014
377,Tolima,3831,Jul 2014
378,Antioquia,4391,Jun 2014
379,Bogota,3129,Jun 2014
380,Caldas,6146,Jun 2014
381,Huila,7243,Jun 2014
382,Quindio,4969,Jun 2014
383,Risaralda,4908,Jun 2014
384,Tolima,2921,Jun 2014
385,Antioquia,6918,Mar 2014
386,Bogota,4967,Mar 2014
387,Caldas,7174,Mar 2014
388,Huila,7719,Mar 2014
389,Quindio,3792,Mar 2014
390,Risaralda,6302,Mar 2014
391,Tolima,2178,Mar 2014
392,Antioquia,5553,May 2014
393,Bogota,3780,May 2014
394,Caldas,11129,May 2014
395,Huila,6094,May 2014
396,Quindio,4004,May 2014
397,Risaralda,9581,May 2014
398,Tolima,4162,May 2014
399,Antioquia,7389,Nov 2014
400,Bogota,4952,Nov 2014
401,Caldas,10242,Nov 2014
402,Huila,8220,Nov 2014
403,Quindio,7153,Nov 2014
404,Risaralda,11229,Nov 2014
405,Tolima,2966,Nov 2014
406,Antioquia,5164,Oct 2014
407,Bogota,2089,Oct 2014
408,Caldas,9052,Oct 2014
409,Huila,10287,Oct 2014
410,Quindio,6486,Oct 2014
411,Risaralda,11160,Oct 2014
412,Tolima,3618,Oct 2014
413,Antioquia,3160,Sep 2014
414,Bogota,4421,Sep 2014
415,Caldas,7771,Sep 2014
416,Huila,11448,Sep 2014
417,Quindio,5416,Sep 2014
418,Risaralda,7669,Sep 2014
419,Tolima,3180,Sep 2014
420,Antioquia,9197,Apr 2015
421,Bogota,5196,Apr 2015
422,Caldas,6920,Apr 2015
423,Huila,6665,Apr 2015
424,Quindio,4598,Apr 2015
425,Risaralda,6797,Apr 2015
426,Tolima,2561,Apr 2015
427,Antioquia,9018,Aug 2015
428,Bogota,2685,Aug 2015
429,Caldas,9887,Aug 2015
430,Huila,12163,Aug 2015
431,Quindio,6196,Aug 2015
432,Risaralda,11559,Aug 2015
433,Tolima,2527,Aug 2015
434,Antioquia,9113,Dec 2015
435,Bogota,3767,Dec 2015
436,Caldas,9934,Dec 2015
437,Huila,11890,Dec 2015
438,Quindio,6765,Dec 2015
439,Risaralda,13696,Dec 2015
440,Tolima,2816,Dec 2015
441,Antioquia,9870,Jan 2015
442,Bogota,5153,Jan 2015
443,Caldas,9632,Jan 2015
444,Huila,9186,Jan 2015
445,Quindio,7606,Jan 2015
446,Risaralda,11642,Jan 2015
447,Tolima,3316,Jan 2015
448,Antioquia,12532,Feb 2015
449,Bogota,5054,Feb 2015
450,Caldas,6763,Feb 2015
451,Huila,10609,Feb 2015
452,Quindio,7616,Feb 2015
453,Risaralda,8647,Feb 2015
454,Tolima,3193,Feb 2015
455,Antioquia,12514,Jul 2015
456,Bogota,4045,Jul 2015
457,Caldas,10428,Jul 2015
458,Huila,13459,Jul 2015
459,Quindio,6869,Jul 2015
460,Risaralda,12702,Jul 2015
461,Tolima,3052,Jul 2015
462,Antioquia,7155,Jun 2015
463,Bogota,1624,Jun 2015
464,Caldas,5672,Jun 2015
465,Huila,9353,Jun 2015
466,Quindio,5443,Jun 2015
467,Risaralda,7999,Jun 2015
