DeptoOrigen,Toneladas,date
Antioquia,5444,Apr 2010
Bogota,1490,Apr 2010
Caldas,4978,Apr 2010
Huila,4598,Apr 2010
Quindio,1726,Apr 2010
Risaralda,7705,Apr 2010
Tolima,1480,Apr 2010
Antioquia,2508,Aug 2010
Bogota,1853,Aug 2010
Caldas,5862,Aug 2010
Huila,5212,Aug 2010
Quindio,1398,Aug 2010
Risaralda,4972,Aug 2010
Tolima,1659,Aug 2010
Antioquia,6997,Dec 2010
Bogota,2912,Dec 2010
Caldas,7453,Dec 2010
Huila,12382,Dec 2010
Quindio,3220,Dec 2010
Risaralda,11381,Dec 2010
Tolima,1905,Dec 2010
Antioquia,6575,Jan 2010
Bogota,2333,Jan 2010
Caldas,5590,Jan 2010
Huila,6225,Jan 2010
Quindio,1547,Jan 2010
Risaralda,5986,Jan 2010
Tolima,917,Jan 2010
Antioquia,4417,Feb 2010
Bogota,2148,Feb 2010
Caldas,5614,Feb 2010
Huila,4000,Feb 2010
Quindio,1768,Feb 2010
Risaralda,5666,Feb 2010
Tolima,1547,Feb 2010
Antioquia,3699,Jul 2010
Bogota,1617,Jul 2010
Caldas,4077,Jul 2010
Huila,4543,Jul 2010
Quindio,1773,Jul 2010
Risaralda,6198,Jul 2010
Tolima,1865,Jul 2010
Antioquia,6485,Jun 2010
Bogota,3216,Jun 2010
Caldas,4561,Jun 2010
Huila,3673,Jun 2010
Quindio,1832,Jun 2010
Risaralda,7965,Jun 2010
Tolima,2553,Jun 2010
Antioquia,6323,Mar 2010
Bogota,3129,Mar 2010
Caldas,5698,Mar 2010
Huila,7172,Mar 2010
Quindio,1583,Mar 2010
Risaralda,7661,Mar 2010
Tolima,1142,Mar 2010
Antioquia,6493,May 2010
Bogota,3238,May 2010
Caldas,5043,May 2010
Huila,4592,May 2010
Quindio,1706,May 2010
Risaralda,9894,May 2010
Tolima,2229,May 2010
Antioquia,4612,Nov 2010
Bogota,3797,Nov 2010
Caldas,5522,Nov 2010
Huila,8852,Nov 2010
Quindio,1986,Nov 2010
Risaralda,7488,Nov 2010
Tolima,1379,Nov 2010
Antioquia,2791,Oct 2010
Bogota,2035,Oct 2010
Caldas,6362,Oct 2010
Huila,7059,Oct 2010
Quindio,1676,Oct 2010
Risaralda,7212,Oct 2010
Tolima,984,Oct 2010
Antioquia,2290,Sep 2010
Bogota,1723,Sep 2010
Caldas,5065,Sep 2010
Huila,5825,Sep 2010
Quindio,1507,Sep 2010
Risaralda,4459,Sep 2010
Tolima,1095,Sep 2010
Antioquia,7657,Apr 2011
Bogota,5822,Apr 2011
Caldas,6152,Apr 2011
Huila,6471,Apr 2011
Quindio,2496,Apr 2011
Risaralda,8500,Apr 2011
Tolima,1116,Apr 2011
Antioquia,3988,Aug 2011
Bogota,1934,Aug 2011
Caldas,2625,Aug 2011
Huila,5369,Aug 2011
Quindio,1620,Aug 2011
Risaralda,3972,Aug 2011
Tolima,2390,Aug 2011
Antioquia,5573,Dec 2011
Bogota,3881,Dec 2011
Caldas,7064,Dec 2011
Huila,10334,Dec 2011
Quindio,3750,Dec 2011
Risaralda,8141,Dec 2011
Tolima,1852,Dec 2011
Antioquia,8078,Jan 2011
Bogota,4986,Jan 2011
Caldas,8917,Jan 2011
Huila,10531,Jan 2011
Quindio,3550,Jan 2011
Risaralda,8348,Jan 2011
Tolima,1820,Jan 2011
Antioquia,8181,Feb 2011
Bogota,4683,Feb 2011
Caldas,5017,Feb 2011
Huila,7190,Feb 2011
Quindio,2624,Feb 2011
Risaralda,8405,Feb 2011
Tolima,2166,Feb 2011
Antioquia,4368,Jul 2011
Bogota,1928,Jul 2011
Caldas,3479,Jul 2011
Huila,4678,Jul 2011
Quindio,2204,Jul 2011
Risaralda,4149,Jul 2011
Tolima,735,Jul 2011
Antioquia,7398,Jun 2011
Bogota,2530,Jun 2011
Caldas,4659,Jun 2011
Huila,5428,Jun 2011
Quindio,2127,Jun 2011
Risaralda,6961,Jun 2011
Tolima,1798,Jun 2011
Antioquia,7095,Mar 2011
Bogota,6906,Mar 2011
Caldas,6795,Mar 2011
Huila,8500,Mar 2011
Quindio,2612,Mar 2011
Risaralda,9014,Mar 2011
Tolima,1558,Mar 2011
Antioquia,7317,May 2011
Bogota,4614,May 2011
Caldas,3721,May 2011
Huila,3438,May 2011
Quindio,1313,May 2011
Risaralda,6756,May 2011
Tolima,563,May 2011
Antioquia,5337,Nov 2011
Bogota,2654,Nov 2011
Caldas,7341,Nov 2011
Huila,7372,Nov 2011
Quindio,2286,Nov 2011
Risaralda,8940,Nov 2011
Tolima,2621,Nov 2011
Antioquia,2270,Oct 2011
Bogota,1499,Oct 2011
Caldas,4284,Oct 2011
Huila,6091,Oct 2011
Quindio,2331,Oct 2011
Risaralda,4633,Oct 2011
Tolima,680,Oct 2011
Antioquia,2027,Sep 2011
Bogota,1170,Sep 2011
